page_number,page_id,review_priority,human_review_required,auto_seed_status,suggested_canonical_route,auto_seeded_gold_route_label,legacy_route,ocr_word_count,part_number_count,seed_reasons,ocr_sample_text,source_image_path,gold_route_label,review_status,review_notes
37,t_p_120_1176_p000037,medium,True,needs_human_review,table_or_index,,table,300,6,table_or_index_medium_or_ambiguous,"-< EMBRAER
MAINTENANCE MANUAL WITH
ILLUSTRATED PARTS LIST
[ cwsecuwra| rags fesse | [secu] nese [Rie
PER STOCK PER STOCK
CH-SEC-UN-FIG | ITEM] ASSY NUMBER CH-SEC-UN-FIG | ITEM] ASSY NUMBER
120-33774-001 120-33774-001
25-21-00-10 20 1 25-21 -00-59 10 2
25-21 -00-11 10 1 25-21 -00-60 10 2
25-21-00-12 20 1 25-21 -00-61 10 2
25-21-00-17 20 1 25-21 -00-62 10 2
25-21-00-18 20 1 25-21 -00-63 10 2
25-21-00-19 20 1 25-21 -00-64 10 2
25-21-00-20 20 1 25-21-00-65 10 2
25-21-00-21 20 1 25-21 -00-66 10 2
25-21-00-22 20 1 25-21 -00-76 10 3
i 25-21-00-23 10 1 25-21-00-/6A 10 3
25-21-00-24 10 1 25-21-00-77 10 3
25-21-00-25 20 1 120-33774-501
25-21-00-26 10 1 25-21-00-30A -11 2
25-21-00-27 20 1 120-33774-505
25-21-00-28 10 1 25-21-00-8A -11 1
25-21-00-29 10 2 25-21-00-29A -13 2
25-21-00-29A 10 2 25-21-00-31A -13 2
25-21-00-30 10 2 120-33774-537
25-21-00-30A 10 2 25-21-00-02A 10 1
25-21-00-31 10 2 25-21-00-05A 10 1
25-21-00-31A 10 2 25-21-00-08A 10 1
25-21-00-32 10 2 25-21-00",local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000037.tif,,needs_review,
41,t_p_120_1176_p000041,medium,True,needs_human_review,table_or_index,,table,319,3,table_or_index_medium_or_ambiguous,"-< EMBRAER
MAINTENANCE MANUAL WITH
ILLUSTRATED PARTS LIST
[ cwsecunra| napisy fess | [secu] nese [Rie
PER STOCK PER STOCK
CH-SEC-UN-FIG | ITEM] ASSY NUMBER CH-SEC-UN-FIG | ITEM] ASSY NUMBER
120-36842-001 120-36842-001
25-21 -00-08 110 1 25-21 -00-53 50 2
| 25-21-00-08A| 120 1 25-21 -00-54 50 2
25-21-00-09 120 1 25-21-00-55 50 2
25-21-00-10 120 1 25-21 -00-56 50 2
25-21-00-11 110 1 25-21-00-57 50 2
25-21-00-12 120 1 25-21 -00-58 50 2
25-21-00-13 120 1 25-21 -00-59 50 2
25-21-00-14 120 1 25-21 -00-60 50 2
25-21-00-15 110 1 25-21 -00-61 50 2
25-21-00-16 120 1 25-21 -00-62 50 2
25-21-00-17 120 1 25-21 -00-63 50 2
25-21-00-18 120 1 25-21 -00-64 50 2
25-21-00-19 120 1 25-21-00-65 50 2
25-21-00-20 120 1 25-21 -00-66 50 2
25-21-00-21 120 1 25-21 -00-76 50 3
i 25-21-00-22 120 1 25-21-00-/6A 50 3
25-21 -00-23 110 1 25-21-00-77 60 3
25-21 -00-24 110 1 25-21 -00-78 50 3
25-21-00-25 120 1 120-36842-003
| 25-21 -00-26 110 1 25-21-00-31A 50 2
25-21-00-27 120 1 25-21 -00-34 ",local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000041.tif,,needs_review,
45,t_p_120_1176_p000045,medium,True,needs_human_review,table_or_index,,table,308,7,table_or_index_medium_or_ambiguous,"-< EMBRAER
MAINTENANCE MANUAL WITH
ILLUSTRATED PARTS LIST
[ cwsacowra| nafs fesse | [nsec] nese [Rie
PER STOCK PER STOCK
CH-SEC-UN-FIG | ITEM] ASSY NUMBER CH-SEC-UN-FIG | ITEM] ASSY NUMBER
120-40636-001 120-40796-001
25-21-00-52 170 3 25-21-00-19 230 1
25-21-00-53 220 3 25-21 -00-24 180 1
25-21-00-54 190 3 25-21-00-25 200 1
25-21-00-55 190 3 25-21 -00-26 190 1
25-21-00-76 170 3 25-21-00-27 230 1
| 25-21-00-76A| 1/0 3 25-21 -00-28 200 1
25-21-00-78 150 3 25-21-00-57 210
120-40636-003 25-21 -00-62 180 1
25-21-00-03 160 1 25-21 -00-63 210 1
25-21-00-05 170 1 25-21 -00-64 220 1
| 25-21-00-05A]} 220 1 25-21-00-65 210 1
25-21-00-15 170 1 25-21 -00-66 190 1
120-40795-001 120-40796-003
25-21-00-18 -191 1 25-21-00-18 200 1
25-21-00-19 -221 1 25-21-00-19 -231 1
25-21-00-21 190 1 25-21 -00-21 200 1
25-21-00-22 210 1 25-21 -00-22 220 1
25-21-00-25 190 1 25-21 -00-24 -181 1
25-21-00-27 220 1 25-21-00-25 -201 1
25-21-00-57 230 1 25-21 -00-26 200 1
25-2 1-00-62 200 1 25-21-",local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000045.tif,,needs_review,
47,t_p_120_1176_p000047,medium,True,needs_human_review,table_or_index,,table,264,7,table_or_index_medium_or_ambiguous,"-<€ EMBRAER
MAINTENANCE MANUAL WITH
ILLUSTRATED PARTS LIST
secuino| apy faite | [ cverounno| nef [ei
PER STOCK PER STOCK
CH-SEC-UN-FIG| ITEM] ASSY NUMBER CH-SEC-UN-FIG] ITEM] ASSY NUMBER
120-41225-001 120-41226-001
| 25-21-00-85 | -202 1
25-21-00-105] 220 1 120-41231-001
| 25-21-00-29 | 250 2
120-41225-003 25-21-00-29A] 270 2
25-21-00-67 10) 1 25-21-00-30 | 240] 2
25-21-00-69 10); 1 25-21-00-30A] 240| 2
apeee 0 2521-00-31 | 240] 2
5501-00-75 10 25-21-00-31A| 260 2
5501.00.89 | 240 5 25-21-00-32 | 250 2
55.01.00.90 | 240 25-21-00-33 | 270 2
55.91.-00-.93 | 210 ‘ 25-21-00-34 | 240 2
95-21-0095 | 211 3 25-21-00-35 | 240 2
95-01-00-96 | -211 5 25-21-00-35A| 200 2
25-21-00-97 210 2 25-21-00-36 240 2
25-21-00-98 211 4 25-21 -00-37 220 2
25-21-00-99 | 210 1 25-21-00-38 | 250 2
25-21-00-100} 210 1 25-21-00-39 | 250 1
25-21-00-103] 210 2 25-21-00-40 | -251 1
25-21-00-104 210 2 25-21-00-41 200 4
25-21-00-105 | 210 1 25-21-00-42 250 4
25-21-00-106 | 210 1 95-21-00-43 | ",local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000047.tif,,needs_review,
53,t_p_120_1176_p000053,medium,True,needs_human_review,table_or_index,,table,281,6,table_or_index_medium_or_ambiguous,"-<€ EMBRAER
MAINTENANCE MANUAL WITH
ILLUSTRATED PARTS LIST
[evsicune| veiser_ [ests | | enasconrn| ven [ee
PER STOCK PER STOCK
CH-SEC-UN-FIG | ITEM) ASSY NUMBER CH-SEC-UN-FIG | ITEM] ASSY NUMBER
120-43539-001 120-45726-001
25-21-00-105 120 2 25-21-00-48 40 2
25-21-00-106 120 2 25-21-00-49 40 2
120-45726-001 25-21-00-50 40 2
25-21-00-01 50 1 25-21-00-51 40 2
25-21-00-02 50 1 25-21-00-52 40 2
| 25-21-00-02A 40 1 25-21-00-53 40 2
25-21-00-03 40 1 25-21-00-54 40 2
25-21-00-04 50 1 25-21-00-55 40 2
25-21-00-05 40 1 25-21-00-76 40 3
i 25-21-00-05A 40 1 25-21-00-78 40 3
25-21-00-06 50 1 120-45847-001
25-21-00-07 50 1 25-21-00-13 20 1
25-21-00-08 40 1 25-21-00-14 20 1
| 25-21-00-08A 40 1 25-21-00-15 10 1
25-21-00-09 50 1 25-21-00-16 20 1
25-21-00-10 50 1 25-21-00-43 10 2
25-21-00-11 40 1 25-21-00-44 10 2
25-21-00-12 50 1 25-21-00-45 10 2
25-21-00-13 50 1 25-21-00-46 10 2
25-21-00-14 50 1 25-21-00-78 10 3
25-21-00-15 40 1 120-45848-001
25-21-00-16 50 1 25-21-00-13 30",local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000053.tif,,needs_review,
54,t_p_120_1176_p000054,medium,True,needs_human_review,table_or_index,,table,288,5,table_or_index_medium_or_ambiguous,"-<€ EMBRAER
MAINTENANCE MANUAL WITH
ILLUSTRATED PARTS LIST
[ensue ver [Rite | [ ouecanre| mir asin
PER STOCK PER STOCK
CH-SEC-UN-FIG | ITEM] ASSY NUMBER CH-SEC-UN-FIG | ITEM] ASSY NUMBER
120-46439-001 120-47462-001
25-21-00-25 50 1 25-21-00-01 240 1
| 25-21-00-26 40 1 25-21-00-02 250 1
25-21-00-27 50 1 25-21-00-02A} 210 1
25-21-00-28 40 1 25-21 -00-04 250 1
25-21-00-56 40 2 25-21-00-06 230 1
25-21-00-57 40 2 25-21-00-07 240 1
25-21-00-58 40 2 25-21-00-09 -241 1
25-21-00-59 40 2 25-21-00-10 -251 1
25-21-00-60 40 2 25-21-00-12 -241 1
25-21-00-61 40 2 25-21-00-13 -201 1
25-21-00-62 40 2 25-21-00-14 -211 1
25-21-00-63 40 2 25-21-00-16 -201 1
| 25-21-00-64 40 2 25-21-00-29 200 2
25-21-00-65 40 2 25-21-00-29A| 220 2
| 25-21-00-66 40 2 25-21-00-30 250 2
25-21-00-77 40 3 25-21-00-30A} 190 2
120-46443-001 25-21-00-32 200 2
25-21-00-17 40 1 25-21 -00-33 210 2
25-21-00-18 40 1 25-21-00-35 200 2
25-21-00-19 40 1 25-21 -00-36 200 2
25-21-00-20 40 1 25-21-00-38 210 2
25-2",local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000054.tif,,needs_review,
57,t_p_120_1176_p000057,medium,True,needs_human_review,table_or_index,,table,294,3,table_or_index_medium_or_ambiguous,"-<€ EMBRAER
MAINTENANCE MANUAL WITH
ILLUSTRATED PARTS LIST
[cwsecuwre| napisy fuss | |"" seounno| nese [Rie
PER STOCK PER STOCK
CH-SEC-UN-FIG | ITEM] ASSY NUMBER CH-SEC-UN-FIG | ITEM] ASSY NUMBER
120-61610-001 42952-10
25-21-00-46 -202 2 25-21-00-93 150 1
25-21-00-48 -171 2 25-21-00-94 20 1
25-21-00-49 -171 2 25-21-00-94 150 1
25-21-00-50 -202 2 25-21-00-95 20 1
25-21-00-54 -171 2 25-21-00-95 150 1
25-21-00-55 -171 2 25-21-00-96 20 1
25-21-00-112 -3 1 25-21-00-96 150 1
25-21-00-113 -2 1 25-21-00-97 20 1
120-62399-001 25-21-00-97 150 1
25-21-00-35A 20 2 25-21-00-98 20 1
120-63349-001 25-21-00-98 150 1
25-21-00-06A 20 1 25-21-00-99 20 1
42952-10 25-21-00-99 150 1
25-21-00-79 20 1 25-21-00-100 20 1
25-21-00-79 100 1 25-21-00-100 150 1
25-21-00-80 20 1 25-21-00-101 20 1
25-21-00-80 110 1 25-21-00-101 120 1
25-21-00-81 20 1 25-21-00-102 20 1
25-21-00-81 110 1 25-21-00-102 150 1
25-2 1-00-82 20 1 25-21-00-103 20 1
25-2 1-00-82 90 1 25-21-00-103 150 1
25-21-00-83 20",local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000057.tif,,needs_review,
58,t_p_120_1176_p000058,medium,True,needs_human_review,table_or_index,,table,289,0,table_or_index_medium_or_ambiguous,"€ emennce

MAINTENANCE MANUAL WITH
ILLUSTRATED PARTS LIST
PART NUMBER UNITS AIRLINE PART NUMBER UNITS AIRLINE
PER STOCK PER STOCK
CH-SEC-UN-FIG ITEM] ASSY NUMBER CH-SEC-UN-FIG | ITEM] ASSY NUMBER
AM03078-22 AM03078-30
25-21-00-22 190 1 25-21-00-13 160 1
25-21-00-23 190 1 25-21-00-14 160 1
25-21-00-24 150 1 25-21-00-15 150 1
25-21-00-25 170 1 25-21-00-16 160 1
25-21-00-26 150 1 25-21-00-29 210 2
25-21-00-27 200 1 25-21-00-29A} 230 2
25-21-00-28 160 1 25-21 -00-30 210 2
25-21-00-39 -211 2 25-21-00-30A} 200 2
25-21-00-40 -211 2 25-21-00-31 200 2
25-21-00-41 -211 2 25-21-00-31A] 220 2
25-21-00-42 -211 2 25-21-00-32 210 2
25-21-00-47 -211 2 25-21-00-33 230 2
25-21-00-50 -211 2 25-21 -00-34 200 2
25-21-00-51 -211 2 25-21 -00-39 210 2
25-21-00-53 -211 2 25-21 -00-40 210 2
25-21-00-56 200 2 25-21-00-41 210 2
25-21-00-57 190 2 25-21-00-42 210 2
25-21-00-58 200 2 25-21-00-43 210 2
25-21-00-59 170 2 25-21 -00-44 210 2
25-21-00-60 200 2 25-21-00-45 210 2
25-21-00-61 200",local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000058.tif,,needs_review,
59,t_p_120_1176_p000059,medium,True,needs_human_review,table_or_index,,table,291,0,table_or_index_medium_or_ambiguous,"€ emennce

MAINTENANCE MANUAL WITH
ILLUSTRATED PARTS LIST
PART NUMBER UNITS AIRLINE PART NUMBER UNITS AIRLINE
PER STOCK PER STOCK
CH-SEC-UN-FIG ITEM) ASSY NUMBER CH-SEC-UN-FIG | ITEM] ASSY NUMBER
AN4-5A AN4-6A
25-21-00-34 120 1 25-21-00-03 100 1
25-21-00-35 120 2 25-21-00-04 120 1
25-21-00-35A 80 2 25-21-00-05 100 1
25-21-00-36 120 2 25-21-00-06 110 1
25-21-00-37 120 2 25-21-00-06A 90 1
25-21-00-38 120 2 25-21-00-07 110 1
25-21-00-39 120 2 25-21-00-08 100 1
25-21-00-40 120 2 25-21-00-08A 110 1
25-21-00-41 120 2 25-21-00-29 125 1
25-21-00-42 120 2 25-21-00-29A 145 1
25-21-00-43 120 2 25-21-00-30 125 1
25-21-00-44 120 2 25-21-00-30A 110 1
25-21-00-45 120 2 25-21-00-31 125 1
25-21-00-46 120 2 25-21-00-31A 140 1
25-21-00-47 120 1 25-21-00-32 125 1
25-21-00-48 120 2 25-21-00-33 125 1
25-21-00-49 120 2 25-21-00-34 125 1
25-21-00-50 120 1 25-21-00-47 125 1
25-21-00-51 120 1 25-21-00-48 130 1
25-21-00-52 120 1 25-21-00-49 130 1
25-21-00-53 120 1 25-21-00-50 125 1
2",local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000059.tif,,needs_review,
60,t_p_120_1176_p000060,medium,True,needs_human_review,table_or_index,,table,292,0,table_or_index_medium_or_ambiguous,"€ emennce

MAINTENANCE MANUAL WITH
ILLUSTRATED PARTS LIST
PART NUMBER UNITS AIRLINE PART NUMBER UNITS AIRLINE
PER STOCK PER STOCK
CH-SEC-UN-FIG ITEM] ASSY NUMBER CH-SEC-UN-FIG | ITEM] ASSY NUMBER

AN4-22A AN4-22A
25-21-00-10 100 1 25-21-00-58 130 1
25-21-00-11 90 1 25-21-00-59 130 1
25-21-00-12 100 1 25-21 -00-60 130 1
25-21-00-13 100 1 25-21-00-61 130 1
25-21-00-14 100 1 25-21 -00-62 130 1
25-21-00-15 90 1 25-21-00-63 130 1
25-21-00-16 100 1 25-21 -00-64 130 1
25-21-00-17 100 1 25-21-00-65 130 1
25-21-00-18 100 1 25-21-00-66 130 1
25-21-00-19 100 1 25-21-00-76 100 2
25-21-00-20 100 1
25-21-00-21 100 1 25-21-00-76A 100 2
25-21-00-22 100 1 25-21-00-77 110 2
25-21-00-23 90 1 25-21-00-78 100 2
25-21-00-24 90 1 AN4-24A
25-21-00-25 100 1 25-21-00-29A 150 1
25-21-00-26 90 1 25-21-00-30A 120 1
25-21-00-27 100 1 25-21-00-31A 150 1
25-21-00-28 90 1 25-21-00-35A 90 1
25-21-00-29 130 1 AN4-25A
25-21-00-30 130 1 25-21-00-09 110 1
25-21-00-31 130 1 25-21-00-10 110 1
2",local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000060.tif,,needs_review,
