record_id,page_id,page_number,source_member,route_label,summary_field,manual_section_hint,detected_figures,detected_part_numbers,detected_topics,source_trace_ready,guidance_only,source_artifact,object_path,summary_text
v2_summary_guidance__08b91c53d4a945ca,t_p_120_1176_p000019,19,,unknown,summary,illustrated_parts_list,,,figure,True,True,local_data\organization\trace_net\context_retrieval_helpers\trace_net_context_retrieval_helpers_v1.json,records[9],"This page is a figure illustrating the passenger seat, including its backrests and bottom, with associated part numbers and revision information."
v2_summary_guidance__40211757a45f321c,t_p_120_1176_p000020,20,,unknown,summary,illustrated_parts_list,,,illustrated parts list;table,True,True,local_data\organization\trace_net\context_retrieval_helpers\trace_net_context_retrieval_helpers_v1.json,records[10],"This page describes the format of an illustrated parts list, explaining the different columns and their purpose for identifying aircraft parts."
v2_summary_guidance__a8b01b3692895351,t_p_120_1176_p000021,21,,unknown,summary,illustrated_parts_list,,,illustrated parts list;maintenance manual,True,True,local_data\organization\trace_net\context_retrieval_helpers\trace_net_context_retrieval_helpers_v1.json,records[11],"This page describes the organization and categorization of parts within a maintenance manual's illustrated parts list, including EMBRAER, military standard, and vendor part numbers."
v2_summary_guidance__dcdbf434e4cd5d9c,t_p_120_1176_p000022,22,,unknown,summary,unknown,,,illustrated parts list,True,True,local_data\organization\trace_net\context_retrieval_helpers\trace_net_context_retrieval_helpers_v1.json,records[12],"This page explains abbreviations and conventions used in a detailed parts list, including interchangeability indicators and left/right hand orientation."
v2_summary_guidance__6750ceb33246084e,t_p_120_1176_p000023,23,,unknown,summary,unknown,,,illustrated parts list,True,True,local_data\organization\trace_net\context_retrieval_helpers\trace_net_context_retrieval_helpers_v1.json,records[13],"This page describes notes and abbreviations used within a parts list, including explanations of codes like 'REF', 'AR', and notations regarding stock exhaustion."
v2_summary_guidance__7901e499534bbf2c,t_p_120_1176_p000024,24,,unknown,summary,maintenance_manual,,,illustrated parts list;maintenance manual,True,True,local_data\organization\trace_net\context_retrieval_helpers\trace_net_context_retrieval_helpers_v1.json,records[14],This page from the maintenance manual provides vendor information and includes a parts list entry for part number 345-1598.
v2_summary_guidance__7c5d7118a8080a56,t_p_120_1176_p000025,25,,unknown,summary,unknown,,,,True,True,local_data\organization\trace_net\context_retrieval_helpers\trace_net_context_retrieval_helpers_v1.json,records[15],Page 25 from T.P. 120/1176 in ATA 25-21-00 has empty OCR text.
v2_summary_guidance__518e5df7a0d2e96e,t_p_120_1176_p000027,27,,unknown,summary,maintenance_manual,,,illustrated parts list;maintenance manual,True,True,local_data\organization\trace_net\e2e_dynamic_plan_executor\trace_net_e2e_dynamic_plan_executor_v18.json,executions[4].summary_guidance[0],"This page appears to be a parts list from the maintenance manual, listing numerous part numbers with associated quantities and airline part numbers."
v2_summary_guidance__ad0f88b8016a215d,t_p_120_1176_p000028,28,,unknown,summary,maintenance_manual,,,illustrated parts list;maintenance manual,True,True,local_data\organization\trace_net\e2e_live_deterministic_answer_planner\trace_net_e2e_live_deterministic_answer_planner_v28.json,sample_results[2].guidance.v2_summary_guidance[2],"This page appears to be a parts list from an aircraft maintenance manual, detailing various part numbers and their associated information."
v2_summary_guidance__63dcdac49d6c221e,t_p_120_1176_p000029,29,,unknown,summary,maintenance_manual,,,illustrated parts list;maintenance manual,True,True,local_data\organization\trace_net\e2e_live_deterministic_answer_planner\trace_net_e2e_live_deterministic_answer_planner_v28.json,sample_results[2].guidance.v2_summary_guidance[3],"This page appears to be a parts list from the maintenance manual, listing various part numbers and quantities."
v2_summary_guidance__6b9ae2ef566319b6,t_p_120_1176_p000030,30,,unknown,summary,maintenance_manual,,,illustrated parts list;maintenance manual,True,True,local_data\organization\trace_net\e2e_live_deterministic_answer_planner\trace_net_e2e_live_deterministic_answer_planner_v28.json,sample_results[2].guidance.v2_summary_guidance[4],"This page appears to be a parts list from an aircraft maintenance manual, detailing part numbers and quantities."
v2_summary_guidance__cc59a926fa16c34c,t_p_120_1176_p000031,31,,unknown,summary,maintenance_manual,,,illustrated parts list;maintenance manual,True,True,local_data\organization\trace_net\e2e_live_deterministic_answer_planner\trace_net_e2e_live_deterministic_answer_planner_v28.json,sample_results[2].guidance.v2_summary_guidance[5],"This page appears to be a parts list from a maintenance manual, listing part numbers and ATA codes."
v2_summary_guidance__818f2a30e67a956d,t_p_120_1176_p000032,32,,unknown,summary,maintenance_manual,,,illustrated parts list;maintenance manual,True,True,local_data\organization\trace_net\e2e_live_deterministic_answer_planner\trace_net_e2e_live_deterministic_answer_planner_v28.json,sample_results[2].guidance.v2_summary_guidance[6],"This page appears to be a parts list from an aircraft maintenance manual, listing various part numbers and associated codes."
v2_summary_guidance__407d4d46041759a0,t_p_120_1176_p000033,33,,unknown,summary,illustrated_parts_list,,,illustrated parts list,True,True,local_data\organization\trace_net\e2e_live_deterministic_answer_planner\trace_net_e2e_live_deterministic_answer_planner_v28.json,sample_results[2].guidance.v2_summary_guidance[7],"This page is an illustrated parts list for Embraer ATA 25-21-00, detailing various part numbers, quantities, and assembly numbers."
v2_summary_guidance__1e18ff2493b659c3,t_p_120_1176_p000034,34,,unknown,summary,illustrated_parts_list,,,illustrated parts list,True,True,local_data\organization\trace_net\e2e_live_deterministic_answer_planner\trace_net_e2e_live_deterministic_answer_planner_v28.json,sample_results[2].guidance.v2_summary_guidance[8],"This page is an illustrated parts list for Embraer aircraft, specifically detailing part numbers and stock information under ATA 25-21-00."
v2_summary_guidance__b408f51d0fd7813c,t_p_120_1176_p000036,36,,unknown,summary,maintenance_manual,,,illustrated parts list;maintenance manual,True,True,local_data\organization\trace_net\e2e_live_deterministic_answer_planner\trace_net_e2e_live_deterministic_answer_planner_v28.json,sample_results[2].guidance.v2_summary_guidance[9],"This page appears to be a parts list from a maintenance manual, listing part numbers and associated codes."
v2_summary_guidance__cc360088a71d571e,t_p_120_1176_p000037,37,,unknown,summary,maintenance_manual,,,illustrated parts list;maintenance manual,True,True,local_data\organization\trace_net\e2e_live_deterministic_answer_planner\trace_net_e2e_live_deterministic_answer_planner_v28.json,sample_results[4].guidance.v2_summary_guidance[9],"This page appears to be a parts list from an aircraft maintenance manual, detailing part numbers and quantities."
v2_summary_guidance__d3d9bd7bb6c81346,t_p_120_1176_p000048,48,,unknown,summary,maintenance_manual,,,illustrated parts list;maintenance manual,True,True,local_data\organization\trace_net\context_retrieval_helpers\trace_net_context_retrieval_helpers_v1.json,records[16],"This page appears to be a parts list from an aircraft maintenance manual, containing numerous part numbers and associated codes."
v2_summary_guidance__9a06e096c9de1bbb,t_p_120_1176_p000319,319,,unknown,summary,unknown,,,,True,True,local_data\organization\trace_net\e2e_live_relationship_synthesis_planner\trace_net_e2e_live_relationship_synthesis_planner_v29.json,sample_results[4].relationship_guidance[0].summary_guidance[1],Page-level retrieval profile for t_p_120_1176 page 319.
v2_summary_guidance__bee5a86930711365,t_p_120_1176_p000320,320,,unknown,summary,unknown,,,,True,True,local_data\organization\trace_net\e2e_live_relationship_synthesis_planner\trace_net_e2e_live_relationship_synthesis_planner_v29.json,sample_results[4].relationship_guidance[0].summary_guidance[2],Page-level retrieval profile for t_p_120_1176 page 320.
v2_summary_guidance__bfaff3044896fba6,t_p_120_1176_p000452,452,,unknown,summary,unknown,,,,True,True,local_data\organization\trace_net\e2e_live_relationship_synthesis_planner\trace_net_e2e_live_relationship_synthesis_planner_v29.json,sample_results[7].relationship_guidance[4].summary_guidance[3],Page-level retrieval profile for t_p_120_1176 page 452.
