severity,original_severity,triage_severity,triage_category,triage_action,triage_reason,needs_review,triage_part_candidate,triage_issue_type,report,key,count,part_number,nomenclature,ata_code,page_label,details,tiff_path,ocr_text_path
review,review,review,real_part_nomenclature_conflict,manual_review,candidate looks like a real part with conflicting nomenclature evidence,true,120-36834-523,,part_nomenclature_conflicts,12036834523,3,120-36834-523,,,,"DOUBLE PASSENGER SEAT ASSY, 120TP250069A.MCE, IT DY",,
review,review,review,real_part_nomenclature_conflict,manual_review,candidate looks like a real part with conflicting nomenclature evidence,true,120-36843-001,,part_nomenclature_conflicts,12036843001,3,120-36843-001,,,,"HOLDER, MAGAZINE, HOLDER, MAGAZINE UO, CH-SEC-UN-FIG | ] ASSY NUMBER CH-SEC-UN-FIG | ] ASSY NUMBER",,
review,review,review,real_part_nomenclature_conflict,manual_review,candidate looks like a real part with conflicting nomenclature evidence,true,120-37313-001,,part_nomenclature_conflicts,12037313001,3,120-37313-001,,,,"HOLDER, MAGAZINE, CH-SEC-UN-FIG | ] ASSY NUMBER CH-SEC-UN-FIG | ] ASSY NUMBER, HOLDER, MAGAZINE . C",,
review,review,review,real_part_nomenclature_conflict,manual_review,candidate looks like a real part with conflicting nomenclature evidence,true,120-40796-003,,part_nomenclature_conflicts,12040796003,3,120-40796-003,,,,"COVER, TRIM, FRONT, COVER, T FRONT, COVER, TRIM FRONT",,
review,review,review,real_part_nomenclature_conflict,manual_review,candidate looks like a real part with conflicting nomenclature evidence,true,120-41475-001,,part_nomenclature_conflicts,12041475001,3,120-41475-001,,,,"COVER, TRIM, FRONT, COVER, TRIM FRONT, CH-SEC-UN-FIG | ) ASSY NUMBER CH-SEC-UN-FIG | ] ASSY NUMBER",,
review,review,review,real_part_nomenclature_conflict,manual_review,candidate looks like a real part with conflicting nomenclature evidence,true,120-41475-003,,part_nomenclature_conflicts,12041475003,3,120-41475-003,,,,"COVER, TRIM, FRONT, CH-SEC-UN-FIG | ) ASSY NUMBER CH-SEC-UN-FIG | ] ASSY NUMBER, COVER, TRIM FRONT",,
info,review,info,compound_part_reference,keep_as_info,"candidate is a slash-separated part group/range, not one canonical catalog part row",false,120-41824-007/507,,part_nomenclature_conflicts,12041824007507,3,120-41824-007/507,,,,"1201P250018.MCE, I SHEET, X, TRIM",,
info,review,info,compound_part_reference,keep_as_info,"candidate is a slash-separated part group/range, not one canonical catalog part row",false,120-41824-009/509,,part_nomenclature_conflicts,12041824009509,3,120-41824-009/509,,,,"2, TRIM, FRONT, 420TP250016.MCE, TITHE",,
review,review,review,real_part_nomenclature_conflict,manual_review,candidate looks like a real part with conflicting nomenclature evidence,true,120-41825-005,,part_nomenclature_conflicts,12041825005,3,120-41825-005,,,,"120TP250056.MCE, DOUBLE PASSENGER SEAT ASSY, NOT ILLUSTRATE",,
info,review,info,compound_part_reference,keep_as_info,"candidate is a slash-separated part group/range, not one canonical catalog part row",false,120-41825-009/509,,part_nomenclature_conflicts,12041825009509,3,120-41825-009/509,,,,"120TP250057. MCE, FE TL EL, NER BUTTON, MALE",,
info,review,info,compound_part_reference,keep_as_info,"candidate is a slash-separated part group/range, not one canonical catalog part row",false,120-41826-001/501,,part_nomenclature_conflicts,12041826001501,3,120-41826-001/501,,,,"120TP250071.MCE, TIT DL, TRIM, REAR-MOVABLEARMREST",,
review,review,review,real_part_nomenclature_conflict,manual_review,candidate looks like a real part with conflicting nomenclature evidence,true,120-42660-001,,part_nomenclature_conflicts,12042660001,3,120-42660-001,,,,"TABLE, SNACK FOLDING, ASSY, TABLE, SNACK FONDING, ASSY, CH-SEC-UN-FIG | ) ASSY NUMBER CH-SEC-UN-FIG | ] ASSY NUMBER",,
info,review,info,compound_part_reference,keep_as_info,"candidate is a slash-separated part group/range, not one canonical catalog part row",false,120-45850-007/507,,part_nomenclature_conflicts,12045850007507,3,120-45850-007/507,,,,"120TP250028.MCE, 2, TRIM FRONT . §=VS4956, TIT DT",,
info,review,info,compound_part_reference,keep_as_info,"candidate is a slash-separated part group/range, not one canonical catalog part row",false,120-46137-001/501,,part_nomenclature_conflicts,12046137001501,3,120-46137-001/501,,,,"120TP250073.MCE, TIH DH, TRIM, REAR-MOVABLEARMREST",,
review,review,review,real_part_nomenclature_conflict,manual_review,candidate looks like a real part with conflicting nomenclature evidence,true,120-47462-001,,part_nomenclature_conflicts,12047462001,3,120-47462-001,,,,"CH-SEC-UN-FIG | ) ASSY NUMBER CH-SEC-UN-FIG | ] ASSY NUMBER, COVER, LATCH, SNACK TABLE ASSY, COVER, LATCH. SNACK TABLE ASSY",,
review,review,review,real_part_nomenclature_conflict,manual_review,candidate looks like a real part with conflicting nomenclature evidence,true,120-50648-001,,part_nomenclature_conflicts,12050648001,3,120-50648-001,,,,"120TP250042. MCE, 278 THRU 120308 AND, DOUBLE PASSENGER SEAT ASSY",,
review,review,review,real_part_nomenclature_conflict,manual_review,candidate looks like a real part with conflicting nomenclature evidence,true,120-50648-007,,part_nomenclature_conflicts,12050648007,3,120-50648-007,,,,"120TP250044.MCE, 278 THRU 120308 AND, DOUBLE PASSENGER SEAT ASSY",,
review,review,review,real_part_nomenclature_conflict,manual_review,candidate looks like a real part with conflicting nomenclature evidence,true,120-50648-011,,part_nomenclature_conflicts,12050648011,3,120-50648-011,,,,"120TP250045.MCE, 278 THRU 120308 AND, DOUBLE PASSENGER SEAT",,
review,review,review,real_part_nomenclature_conflict,manual_review,candidate looks like a real part with conflicting nomenclature evidence,true,120-61381-003,,part_nomenclature_conflicts,12061381003,3,120-61381-003,,,,"120TP0020.MCE, 304 THRU 120308 AND, SINGLE PASSENGER SEAT ASSY",,
review,review,review,real_part_nomenclature_conflict,manual_review,candidate looks like a real part with conflicting nomenclature evidence,true,120-61382-001,,part_nomenclature_conflicts,12061382001,3,120-61382-001,,,,"120TP250046.MCE, 304 THRU 120308 AND, DOUBLE PASSENGER SEAT ASSY",,
review,review,review,real_part_nomenclature_conflict,manual_review,candidate looks like a real part with conflicting nomenclature evidence,true,120-61382-007,,part_nomenclature_conflicts,12061382007,3,120-61382-007,,,,"120TP250048.MCE, 304 THRU 120308 AND, DOUBLE PASSENGER SEAT",,
review,review,review,real_part_nomenclature_conflict,manual_review,candidate looks like a real part with conflicting nomenclature evidence,true,595-37038,,part_nomenclature_conflicts,59537038,3,595-37038,,,,"DESCRIBED IN, NERS WHICH JOIN THE SEAT, SED",,
review,review,review,real_part_nomenclature_conflict,manual_review,candidate looks like a real part with conflicting nomenclature evidence,true,CR3523-5,,part_nomenclature_conflicts,CR35235,3,CR3523-5,,,,"CR3522-5-, FASTENER, ON AW FASTENER",,
review,review,review,real_part_nomenclature_conflict,manual_review,candidate looks like a real part with conflicting nomenclature evidence,true,PE64005-1,,part_nomenclature_conflicts,PE640051,3,PE64005-1,,,,"BUSHING, OOL [A, PE915051-1-PT",,
info,review,info,compound_part_reference,keep_as_info,"candidate is a slash-separated part group/range, not one canonical catalog part row",false,027/039/059,,part_nomenclature_conflicts,027039059,2,027/039/059,,,,"1201P250082, MCE, OCKING WWE",,
info,review,info,compound_part_reference,keep_as_info,"candidate is a slash-separated part group/range, not one canonical catalog part row",false,11826-521/535,,part_nomenclature_conflicts,11826521535,2,11826-521/535,,,,"120CMM251005.MCE, ICE",,
review,review,review,real_part_nomenclature_conflict,manual_review,candidate looks like a real part with conflicting nomenclature evidence,true,120-20970-003,,part_nomenclature_conflicts,12020970003,2,120-20970-003,,,,"""STRUCTURE, ARMREST, STRUCTURE, ARMREST",,
info,review,info,compound_part_reference,keep_as_info,"candidate is a slash-separated part group/range, not one canonical catalog part row",false,120264/120265,,part_nomenclature_conflicts,120264120265,2,120264/120265,,,,"6 AND, JER SEAT",,
review,review,review,real_part_nomenclature_conflict,manual_review,candidate looks like a real part with conflicting nomenclature evidence,true,120-26948-003,,part_nomenclature_conflicts,12026948003,2,120-26948-003,,,,"CH-SEC-UN-FIG] } ASSY NUMBER CH-SEC-UN-FIG] | ASSY NUMBER, SUPPORT",,
review,review,review,real_part_nomenclature_conflict,manual_review,candidate looks like a real part with conflicting nomenclature evidence,true,120-29067-001,,part_nomenclature_conflicts,12029067001,2,120-29067-001,,,,"120TP250074.MCE, STRUCTURE ASSY COVES, WS4956[ A",,
info,review,info,compound_part_reference,keep_as_info,"candidate is a slash-separated part group/range, not one canonical catalog part row",false,120-29067-003/021/031,,part_nomenclature_conflicts,12029067003021031,2,120-29067-003/021/031,,,,"1201P250076.MCE, EEEEEESEEAEEEAAEEAEEAAEAAAEAAAAAS",,
review,review,review,real_part_nomenclature_conflict,manual_review,candidate looks like a real part with conflicting nomenclature evidence,true,120-29067-007,,part_nomenclature_conflicts,12029067007,2,120-29067-007,,,,"120TP250079.MCE, STRUCTURE ASSY . ETTER VS4956 A",,
review,review,review,real_part_nomenclature_conflict,manual_review,candidate looks like a real part with conflicting nomenclature evidence,true,120-29067-015,,part_nomenclature_conflicts,12029067015,2,120-29067-015,,,,"CH-SEC-UN-FIG] } ASSY NUMBER CH-SEC-UN-FIG] | ASSY NUMBER, STRUCTURE ASSY",,
info,review,info,compound_part_reference,keep_as_info,"candidate is a slash-separated part group/range, not one canonical catalog part row",false,120-29067-015/025/035,,part_nomenclature_conflicts,12029067015025035,2,120-29067-015/025/035,,,,"420TP250078.MCE, YRT, ATTACH",,
review,review,review,real_part_nomenclature_conflict,manual_review,candidate looks like a real part with conflicting nomenclature evidence,true,120-29067-017,,part_nomenclature_conflicts,12029067017,2,120-29067-017,,,,"STRUCTURE ASSY, STRUCTURE, ASSY. (SEE FIGURE",,
info,review,info,compound_part_reference,keep_as_info,"candidate is a slash-separated part group/range, not one canonical catalog part row",false,120-29067-017/027/037,,part_nomenclature_conflicts,12029067017027037,2,120-29067-017/027/037,,,,"SNEET, T 120049 THRU",,
review,review,review,real_part_nomenclature_conflict,manual_review,candidate looks like a real part with conflicting nomenclature evidence,true,120-29067-029,,part_nomenclature_conflicts,12029067029,2,120-29067-029,,,,"STRUCTURE ASSY, STRUCTURE, ASSY. (SEE FIGURE",,
review,review,review,real_part_nomenclature_conflict,manual_review,candidate looks like a real part with conflicting nomenclature evidence,true,120-29067-033,,part_nomenclature_conflicts,12029067033,2,120-29067-033,,,,"STRUCTURE ASSY VECECCCCCCCSSSESSSSSSSESSVEEEE, STRUCTURE, ASSY. (SEE FIGURE",,
review,review,review,real_part_nomenclature_conflict,manual_review,candidate looks like a real part with conflicting nomenclature evidence,true,120-29068-005,,part_nomenclature_conflicts,12029068005,2,120-29068-005,,,,"STRUCTURE ASSY, STRUCTURE, ASSY. (SEE FIGURE",,
review,review,review,real_part_nomenclature_conflict,manual_review,candidate looks like a real part with conflicting nomenclature evidence,true,120-29068-013,,part_nomenclature_conflicts,12029068013,2,120-29068-013,,,,"STRUCTURE ASSY, STRUCTURE, ASSY. (SEE FIGURE",,
info,review,info,compound_part_reference,keep_as_info,"candidate is a slash-separated part group/range, not one canonical catalog part row",false,120-29068-013/051,,part_nomenclature_conflicts,12029068013051,2,120-29068-013/051,,,,"120TP250082.MCE, 120TP250091.MCE",,
review,review,review,real_part_nomenclature_conflict,manual_review,candidate looks like a real part with conflicting nomenclature evidence,true,120-29068-017,,part_nomenclature_conflicts,12029068017,2,120-29068-017,,,,"STRUCTURE ASSY, STRUCTURE, ASSY. (SEE FIGURE",,
info,review,info,compound_part_reference,keep_as_info,"candidate is a slash-separated part group/range, not one canonical catalog part row",false,120-29068-021/023,,part_nomenclature_conflicts,12029068021023,2,120-29068-021/023,,,,"120TP250082.MCE, 120TP250090.MCE",,
review,review,review,real_part_nomenclature_conflict,manual_review,candidate looks like a real part with conflicting nomenclature evidence,true,120-29068-023,,part_nomenclature_conflicts,12029068023,2,120-29068-023,,,,"CH-SEC-UN-FIG | } ASSY NUMBER CH-SEC-UN-FIG | ] ASSY NUMBER, STRUCTURE ASSY",,
review,review,review,real_part_nomenclature_conflict,manual_review,candidate looks like a real part with conflicting nomenclature evidence,true,120-29068-025,,part_nomenclature_conflicts,12029068025,2,120-29068-025,,,,"STRUCTURE ASSY, STRUCTURE, ASSY. (SEE FIGURE",,
review,review,review,real_part_nomenclature_conflict,manual_review,candidate looks like a real part with conflicting nomenclature evidence,true,120-29068-04,,part_nomenclature_conflicts,1202906804,2,120-29068-04,,,,"1 STRUCTURE ASSY, 120TP250087.MCE",,
info,review,info,compound_part_reference,keep_as_info,"candidate is a slash-separated part group/range, not one canonical catalog part row",false,120-29068-041/055,,part_nomenclature_conflicts,12029068041055,2,120-29068-041/055,,,,"120TP250083.MCE, 120TP250087.MCE",,
review,review,review,real_part_nomenclature_conflict,manual_review,candidate looks like a real part with conflicting nomenclature evidence,true,120-29068-043,,part_nomenclature_conflicts,12029068043,2,120-29068-043,,,,"STRUCTURE ASSY . ETERS, STRUCTURE, ASSY. (SEE FIGURE",,
review,review,review,real_part_nomenclature_conflict,manual_review,candidate looks like a real part with conflicting nomenclature evidence,true,120-29068-06,,part_nomenclature_conflicts,1202906806,2,120-29068-06,,,,"1 STRUCTURE ASSY . ERES, 120TP250093.MCE",,
review,review,review,real_part_nomenclature_conflict,manual_review,candidate looks like a real part with conflicting nomenclature evidence,true,120-29069-001,,part_nomenclature_conflicts,12029069001,2,120-29069-001,,,,"120TP250096.MCE, STRUCTURE ASSY",,
review,review,review,real_part_nomenclature_conflict,manual_review,candidate looks like a real part with conflicting nomenclature evidence,true,120-29069-005,,part_nomenclature_conflicts,12029069005,2,120-29069-005,,,,"120TP250097.MCE, STRUCTURE ASSY",,
review,review,review,real_part_nomenclature_conflict,manual_review,candidate looks like a real part with conflicting nomenclature evidence,true,120-29070-001,,part_nomenclature_conflicts,12029070001,2,120-29070-001,,,,"STRUCTURE, ARMREST, CH-SEC-UN-FIG] } ASSY NUMBER CH-SEC-UN-FIG] | ASSY NUMBER",,
review,review,review,real_part_nomenclature_conflict,manual_review,candidate looks like a real part with conflicting nomenclature evidence,true,120-29074-001,,part_nomenclature_conflicts,12029074001,2,120-29074-001,,,,"STRUCTURE, CENTRAL LEG, CH-SEC-UN-FIG | } ASSY NUMBER CH-SEC-UN-FIG | ] ASSY NUMBER",,
review,review,review,real_part_nomenclature_conflict,manual_review,candidate looks like a real part with conflicting nomenclature evidence,true,120-29083-001,,part_nomenclature_conflicts,12029083001,2,120-29083-001,,,,"BUSHING, CH-SEC-UN-FIG] ] ASSY NUMBER CH-SEC-UN-FIG | ] ASSY NUMBER",,
review,review,review,real_part_nomenclature_conflict,manual_review,candidate looks like a real part with conflicting nomenclature evidence,true,120-31565-002,,part_nomenclature_conflicts,12031565002,2,120-31565-002,,,,"PLATE, ATTACH, LATE, ATTACH . CRRCCCCCCCCCCCCCCCEE",,
review,review,review,real_part_nomenclature_conflict,manual_review,candidate looks like a real part with conflicting nomenclature evidence,true,120-36060-001,,part_nomenclature_conflicts,12036060001,2,120-36060-001,,,,"STRUCTURE, ARMREST, CH-SEC-UN-FIG | ] ASSY NUMBER CH-SEC-UN-FIG | ] ASSY NUMBER",,
review,review,review,real_part_nomenclature_conflict,manual_review,candidate looks like a real part with conflicting nomenclature evidence,true,120-36833-001,,part_nomenclature_conflicts,12036833001,2,120-36833-001,,,,"120TP250030.MCE, SINGLE PASSENGER SEAT ASSY",,
review,review,review,real_part_nomenclature_conflict,manual_review,candidate looks like a real part with conflicting nomenclature evidence,true,120-36833-003,,part_nomenclature_conflicts,12036833003,2,120-36833-003,,,,"120TP250033.MCE, SINGLE PASSENGER SEAT ASSYV",,
review,review,review,real_part_nomenclature_conflict,manual_review,candidate looks like a real part with conflicting nomenclature evidence,true,120-36833-005,,part_nomenclature_conflicts,12036833005,2,120-36833-005,,,,"120TP250036.MCE, SINGLE PASSENGER SEAT ASSY",,
review,review,review,real_part_nomenclature_conflict,manual_review,candidate looks like a real part with conflicting nomenclature evidence,true,120-36833-501,,part_nomenclature_conflicts,12036833501,2,120-36833-501,,,,"120TP250031A.MCE, SINGLE PASSENGER SEAT ASSY",,
review,review,review,real_part_nomenclature_conflict,manual_review,candidate looks like a real part with conflicting nomenclature evidence,true,120-36833-503,,part_nomenclature_conflicts,12036833503,2,120-36833-503,,,,"120TP250034A.MCE, SINGLE PASSENGER SEAT ASSY",,
review,review,review,real_part_nomenclature_conflict,manual_review,candidate looks like a real part with conflicting nomenclature evidence,true,120-36833-507,,part_nomenclature_conflicts,12036833507,2,120-36833-507,,,,"120TP250041.MCE, SINGLE PASSENGER SEAT ASSY",,
