page_number,page_id,source_member,legacy_route,suggested_canonical_route,suggested_route_confidence,auto_seeded_gold_route_label,human_gold_route_label,final_gold_route_label,decision_source,final_review_status,human_review_required,review_priority,review_notes,source_review_file,ocr_word_count,part_number_count,source_image_path,ocr_sample_text
11,t_p_120_1176_p000011,00000011.tif,table,table_or_index,high,table_or_index,,table_or_index,auto_seeded,auto_seeded_pending_audit,False,low,,,264,0,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000011.tif,"CHAPTER

SECTION
SUBJECT
25-IPL
25-IPL
25-IPL
25-IPL
25-IPL
25-IPL
25-IPL
25-IPL
25-IPL
25-IPL
25-IPL
25-IPL
25-IPL
25-IPL
25-IPL
25-IPL
25-IPL
25-IPL
25-IPL
25-IPL
25-IPL
25-IPL
25-IPL
25-IPL
25-IPL
25-IPL
25-IPL
25-IPL
25-IPL
25-IPL
25-IPL
25-IPL
25-IPL
25-IPL
25-IPL
25-IPL
25-IPL
25-IPL
25-IPL

PAGE

1352
1353
1354
1355
1356
1357
1358
1359
1360
1361
1362
1363
1364
1365
1366
1367
1368
1369
1370
1371
1372
1373
1374
1375
1376
1377
1378
1379
1380
1381
1382
1383
1384
1385
1386
1387
1388
1389
1390

€ emenncn

MAINTENANCE MANUAL WITH
ILLUSTRATED PARTS LIST

DATE

Sep 30/98
Apr 10/06
Apr 10/06
Jul 15/02
Sep 30/98
Apr 10/06
Apr 10/06
Sep 30/98
Sep 30/98
Apr 10/06
Apr 10/06
Sep 30/98
Sep 30/98
Apr 10/06
Apr 10/06
Sep 30/98
Sep 30/98
Apr 10/06
Apr 10/06
Sep 30/98
Sep 30/98
Apr 10/06
Apr 10/06
Sep 30/98
Sep 30/98
Apr 10/06
Apr 10/06
Jul 15/02
Sep 30/98
Apr 10/06
Apr 10/06
"
12,t_p_120_1176_p000012,00000012.tif,blank_candidate,blank_candidate,high,blank_candidate,,blank_candidate,auto_seeded,auto_seeded_pending_audit,False,low,,,0,0,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000012.tif,
13,t_p_120_1176_p000013,00000013.tif,normal_text,table_or_index,medium,,,,unresolved_human_review_required,needs_review,True,medium,,local_data\organization\trace_net\gold_label_review_reduction\medium_priority_review.csv,84,0,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000013.tif,"< COMPONENT MAINTENANCE MANUAL
EMBRAER WITH ILLUSTRATED PARTS LIST
RECORD OF REVISIONS
No. ISSUED INSERTED No. ISSUED INSERTED

0s
0s
a ee
a ey
a ey
a
0s
0s
a a
a 0s
a ey
a
0s
0s
a ee
a ey
a ey
a
0s
0s
a ee
a ey
a
0s
0s
a ee
a ey
a se eo
RETAIN THIS RECORD IN FRONT OF MANUAL.

ON RECEIPT OF REVISION, INSERT REVISED PAGES IN THE MANUAL, AND ENTER NUMBER, DATE INSERTED
AND INITIALS.
"
14,t_p_120_1176_p000014,00000014.tif,normal_text,table_or_index,medium,,,,unresolved_human_review_required,needs_review,True,medium,,local_data\organization\trace_net\gold_label_review_reduction\medium_priority_review.csv,75,0,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000014.tif,"EMBRAER COMPONENT MAINTENANCE MANUAL
WITH ILLUSTRATED PARTS LIST

SERVICE BULLETIN RECORD

SERVICE OTHER DATE OF SERVICE OTHER DATE OF
BULLETIN DIRECTIVES INCORPORATION BULLETIN DIRECTIVES INCORPORATION
NUMBER INTO MANUAL NUMBER INTO MANUAL

NOTE: INFORMATION BULLETINS (IB) ARE NORMALLY ISSUED TO PROVIDE GENERAL INFORMATION.
HOWEVER, CERTAIN INFORMATION BULLETINS MAY CONTAIN ADDITIONAL PROCEDURAL OR
MODIFICATION INFORMATION WHICH MUST BE DISSEMINATED TO THE EQUIPMENT USERS.
THEREFORE, THESE INFORMATION BULLETINS ARE LISTED ALONG WITH THE SERVICE BULLETINS
UNDER “OTHER DIRECTIVES”.
"
15,t_p_120_1176_p000015,00000015.tif,table,mixed_text_and_figure,medium,,,,unresolved_human_review_required,needs_review,True,medium,,local_data\organization\trace_net\gold_label_review_reduction\medium_priority_review.csv,305,0,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000015.tif,"-< EMBRAER
MAINTENANCE MANUAL WITH
ILLUSTRATED PARTS LIST
DESCRIPTION AND OPERATION
1. General
The passenger seats are arranged into two rows in the aircraft, one comprising single seats and
another comprising double seats. In some configurations, the last row may also comprise triple
seats.
2. Description
A. The Single Passenger Seat (Figure 1) configurations listed below may be found on the ""EMB-
120"" Brasilia:
(1) First row single passenger seat with plug-in type snack table.
(2) Complete Single Passenger Seat with two armrests and snack folding table.
(3) Single Passenger Seat without armrest on the wall side (emergency exit position).
(4) Single Passenger Seat without snack folding table (last row).
(5) Single Passenger Seat with longer armrest, without snack folding table, to fit the triple pas-
senger seat row.
B. The Double Passenger Seat (Figure 2) may be found in the following configurations:
(1) First row Double Passenger Seat with plug-in type snack table."
16,t_p_120_1176_p000016,00000016.tif,normal_text,normal_text,high,,,,unresolved_human_review_required,needs_review,True,medium,,local_data\organization\trace_net\gold_label_review_reduction\medium_priority_review.csv,223,0,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000016.tif,"€ emonnce

MAINTENANCE MANUAL WITH
ILLUSTRATED PARTS LIST

G. The backrest structure consists of a rigid composite structure attached to the seat structure and
molded foam cushion is glued to this structure, then covered with fitted upholstery, which, in turn,
is secured with Velcro fastener.

H. The seat bottom cushion is made of molded foam and is covered by the upholstery which is
secured with Velcro fastener.

J. The snack folding table is installed to the back face of the backrest. The snack folding table oper-
ation, when it is extended, is completely independent of the backrest.

K. The plug-in type snack table fits into the armrests.

L. The magazine holder is fitted in the back face of the seat.

M. In the bottom of the each seat place there is a life jacket stowage assembly.

3. Operation
A. Extension and stowage of the Snack Folding Table
(1) The snack folding table is secured in the stowed position by a latch located at the center of

the backrest, "
17,t_p_120_1176_p000017,00000017.tif,image_visual,image_visual_diagram,high,image_visual_diagram,image_visual_diagram,image_visual_diagram,human_review,auto_seeded_spot_check_optional,False,low,,local_data\organization\trace_net\gold_label_review_reduction\low_priority_auto_seeded_audit_sample.csv,39,0,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000017.tif,"-< EMBRAER

MAINTENANCE MANUAL WITH

ILLUSTRATED PARTS LIST

ASHTRAY

SEAT

BACKREST

t

BSS

SEAT

BELT

ag

Ye

:

SL

Niiiine¢H

Testi

Lt

LY

S

FLOATABLE

SEAT BOTTOM

120TP250001.MCI

Single Passenger Seat

Figure 1

EFFECTIVITY: ALL

25-21-00

Page 3

Sep 30/98
"
18,t_p_120_1176_p000018,00000018.tif,image_visual,image_visual_diagram,high,image_visual_diagram,,image_visual_diagram,auto_seeded,auto_seeded_pending_audit,False,low,,,43,0,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000018.tif,"-< EMBRAER
MAINTENANCE MANUAL WITH
ILLUSTRATED PARTS LIST
SEAT BACKRESTS
ll
Ex Z
:
g fy YZ
. = —
tm, EP gs
SEAT BELT (Fx
I o ASHTRAY
Za
FLOATABLE
SEAT BOTTOM
120TP250002.MCE
Double Passenger Seat
Figure 2
EFFECTIVITY: ALL
25 21 00 Page 4
Sep 30/98
"
19,t_p_120_1176_p000019,00000019.tif,image_visual,image_visual_diagram,high,image_visual_diagram,,image_visual_diagram,auto_seeded,auto_seeded_pending_audit,False,low,,,53,0,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000019.tif,"< EMBRAER

MAINTENANCE MANUAL WITH

ILLUSTRATED PARTS LIST

ASHTRAY

SEAT BACKRESTS

FS

e.

HiT

SL /

la

<I®6

Sean

fe

&S

CSU ag,

£/

Z

Ll

;

Tf ®

WEE

SEAT BELT

A:

=

nny

ui]

li

p>

Rim,

S

1)

p>

FLOATABLE

SEAT BOTTOM

120TP250003.MCE

Triple Passenger Seat

Figure 3

EFFECTIVITY: ALL

25-21-00

Page 5/6

Sep 30/98
"
20,t_p_120_1176_p000020,00000020.tif,table,procedure_or_description,high,procedure_or_description,,procedure_or_description,auto_seeded,auto_seeded_pending_audit,False,low,,,273,0,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000020.tif,"< EMBRAER
MAINTENANCE MANUAL WITH
ILLUSTRATED PARTS LIST
ILLUSTRATED PARTS LIST
1. General
A. This section lists and illustrates all the applicable assemblies, subassemblies, and components.
2. Vendor's List
A. A list of names and addresses of vendors is supplied together with the relevant codes for refer-
ence in the Detailed Parts List. The list is arranged in numerical order, according to the vendor
codes. Vendor part numbers with no FEDERAL SUPPLY CODE or NATO SUPPLY CODE
assigned are therein identified with a code preceded by the capital letter ""E"".
3. Numerical Index
A. The numerical index contains every number that appears in the Detailed Parts List and is
arranged in dual columns, in alphanumerical sequence.
(1) PART NUMBER Column.
The part number starts at the extreme left hand, continuing to the right, one position at a
time.
The order of precedence due to the part number arrangement for the first position (extreme
left) is the following:
- Letters A thru Z"
21,t_p_120_1176_p000021,00000021.tif,table,procedure_or_description,high,procedure_or_description,,procedure_or_description,auto_seeded,auto_seeded_pending_audit,False,low,,,237,0,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000021.tif,"(4)

€ emenncn

MAINTENANCE MANUAL WITH
ILLUSTRATED PARTS LIST

TTL REG Column.

This column indicates the total number of items required per airplane.

4. Electrical Reference Designation Index

A. The purpose of this index is to provide a complete list of the electrical and electronic components
identified in the electrical circuit diagrams of the herein-described equipment by an item number
or by an electrical reference designation number (codes).

(1)

(2)

(3)

EQUIP. CODE column.

The equipment codes are shown in this column in alphanumerical sequence.
PART NUMBER Column.

Refer to paragraph 3, item A.

CH - SEC - UN - FIG - ITEM Column.

Refer to paragraph 3, item B.

5. Figure/Parts List

A. Figure (lllustration/List) Content.

(1)

(2)

FIG - ITEM Column.

Each illustration contains item-numbers to facilitate cross-referencing between the parts list
and the illustration; assemblies or parts not illustrated but included in the parts "
22,t_p_120_1176_p000022,00000022.tif,table,procedure_or_description,high,procedure_or_description,,procedure_or_description,auto_seeded,auto_seeded_pending_audit,False,low,,,192,0,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000022.tif,"< EMBRAER
MAINTENANCE MANUAL WITH
ILLUSTRATED PARTS LIST
(3) ARLINE STOCK NUMBER Column.
Refer to paragraph 3, item C.
(4) NOMENCLATURE Column.
Nomenclature includes descriptive information necessary to adequately define the items.
(a) Indentation
The nomenclature column is indented to indicate item relationships.
As shown below, the indentation indicates relationships to the next higher assembly in
the various breakdown levels of an assembly.
1 2 3 4 5 6 7
Detailed parts for the sub-
assembly
Subassembly
Attaching parts for the subassembly
Subassembly
Attaching parts for the subassembly
Detail parts of the assembly
Detail parts for installation
Assembly number
Attaching parts for assembly or installation
Installation number
(b) Symbols and notes
The following symbols and notes are employed in the Detailed Parts List:
41 UMW- (Used with...).
2 S/W- (Supplied with...).
3 A/F - (Altered from...).
4 INTERCH WTH (Interchangeable with...) - Indicates parts that a"
23,t_p_120_1176_p000023,00000023.tif,table,procedure_or_description,high,procedure_or_description,,procedure_or_description,auto_seeded,auto_seeded_pending_audit,False,low,,,287,0,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000023.tif,"< EMBRAER
MAINTENANCE MANUAL WITH
ILLUSTRATED PARTS LIST
8 (WHEN EXHAUSTED USE ...) - Used in the description column of parts for which
the existing stocks should be exhausted before the newer designed part is issued.
9 (USE UNTIL EXHAUSTED, NOT REPLACED) - Used in description column of parts
that have no replacement and existing stocks will not be replenished.
10 (FOR REPLACEMENT USE...) - Used in description column of parts for which a cer-
tain part must be used for replacement.
11 (ALTERNATIVE USE...) - Used to indicate those parts which, when not in stock, may
be replaced with others.
12 (FOR DETAILS SEE ...) - Used in description column for assemblies or installations
the breakdown details of which are called out in another figure.
For correct location of referenced figure, refer to the table of contents.
(5) VENDOR CODE Column.
This column lists the item vendor's codes.
For EMBRAER part numbers, the vendor code is VS4956.
Refer to the Vendor's List to identify t"
