page_number,page_id,source_operational_route,route_subtype,validated_operational_route,validation_decision,validation_status,validation_score,validator_contracts_executed,passed_validator_contracts,failed_validator_contracts,secondary_operational_routes,route_confidence_band,route_confidence_score,source_validator_required,source_multi_route_required,final_do_not_embed,qdrant_embedding_allowed,opensearch_index_allowed,ocr_text_word_count,part_number_count,validation_reasons,source_member,source_image_path,ocr_text_path
11,t_p_120_1176_p000011,table,table_or_index,,validator_gated_unresolved,VALIDATOR_GATED_UNRESOLVED,0.0,"[""table_structure_and_part_evidence_validator""]",[],"[""table_structure_and_part_evidence_validator""]",[],high,90.0,False,False,True,False,False,264,0,[],00000011.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_native_001\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000011.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_native_001\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000011.txt
12,t_p_120_1176_p000012,blank,blank_candidate,blank,validated_primary_route,PASS,100.0,"[""blank_candidate_confirmation_scan""]","[""blank_candidate_confirmation_scan""]",[],[],high,98.0,False,False,True,False,False,0,0,"[""blank_subtype"", ""empty_or_near_empty_ocr"", ""no_part_number_tokens""]",00000012.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_native_001\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000012.tif,
13,t_p_120_1176_p000013,table,table_or_index,,validator_gated_unresolved,VALIDATOR_GATED_UNRESOLVED,0.0,"[""table_structure_and_part_evidence_validator""]",[],"[""table_structure_and_part_evidence_validator""]",[],medium,82.0,True,False,True,False,False,84,0,[],00000013.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_native_001\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000013.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_native_001\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000013.txt
14,t_p_120_1176_p000014,plain_text,review_required,,validator_gated_unresolved,VALIDATOR_GATED_UNRESOLVED,0.0,"[""plain_text_ocr_context_validator""]",[],"[""plain_text_ocr_context_validator""]",[],low,0.0,True,True,True,False,False,75,0,[],00000014.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_native_001\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000014.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_native_001\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000014.txt
15,t_p_120_1176_p000015,plain_text,procedure_or_description,plain_text,validated_primary_route,PASS,100.0,"[""plain_text_ocr_context_validator"", ""image_visual_sparse_label_validator""]","[""plain_text_ocr_context_validator""]","[""image_visual_sparse_label_validator""]","[""image""]",medium,82.0,True,True,False,True,False,305,0,"[""plain_text_subtype"", ""meaningful_ocr_text"", ""low_part_number_density"", ""no_strong_row_structure"", ""text_context_terms""]",00000015.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_native_001\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000015.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_native_001\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000015.txt
16,t_p_120_1176_p000016,plain_text,procedure_or_description,plain_text,validated_primary_route,PASS,100.0,"[""plain_text_ocr_context_validator""]","[""plain_text_ocr_context_validator""]",[],[],medium,82.0,True,False,False,True,False,223,0,"[""plain_text_subtype"", ""meaningful_ocr_text"", ""low_part_number_density"", ""no_strong_row_structure"", ""text_context_terms""]",00000016.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_native_001\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000016.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_native_001\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000016.txt
17,t_p_120_1176_p000017,image,image_visual_diagram,image,validated_primary_route,PASS,100.0,"[""image_visual_sparse_label_validator""]","[""image_visual_sparse_label_validator""]",[],[],high,90.0,False,False,False,True,False,39,0,"[""image_subtype"", ""legacy_image_visual"", ""sparse_ocr_text"", ""concrete_visual_or_figure_signal"", ""not_table_like""]",00000017.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_native_001\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000017.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_native_001\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000017.txt
18,t_p_120_1176_p000018,image,image_visual_diagram,image,validated_primary_route,PASS,100.0,"[""image_visual_sparse_label_validator""]","[""image_visual_sparse_label_validator""]",[],[],high,90.0,False,False,False,True,False,43,0,"[""image_subtype"", ""legacy_image_visual"", ""sparse_ocr_text"", ""concrete_visual_or_figure_signal"", ""not_table_like""]",00000018.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_native_001\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000018.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_native_001\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000018.txt
19,t_p_120_1176_p000019,image,image_visual_diagram,image,validated_primary_route,PASS,100.0,"[""image_visual_sparse_label_validator""]","[""image_visual_sparse_label_validator""]",[],[],high,90.0,False,False,False,True,False,53,0,"[""image_subtype"", ""legacy_image_visual"", ""sparse_ocr_text"", ""concrete_visual_or_figure_signal"", ""not_table_like""]",00000019.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_native_001\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000019.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_native_001\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000019.txt
20,t_p_120_1176_p000020,table,table_or_index,,validator_gated_unresolved,VALIDATOR_GATED_UNRESOLVED,0.0,"[""table_structure_and_part_evidence_validator"", ""plain_text_ocr_context_validator""]",[],"[""table_structure_and_part_evidence_validator"", ""plain_text_ocr_context_validator""]","[""plain_text""]",high,90.0,False,True,True,False,False,273,0,[],00000020.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_native_001\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000020.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_native_001\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000020.txt
21,t_p_120_1176_p000021,plain_text,normal_text,plain_text,validated_primary_route,PASS,90.0,"[""plain_text_ocr_context_validator"", ""table_structure_and_part_evidence_validator""]","[""plain_text_ocr_context_validator""]","[""table_structure_and_part_evidence_validator""]","[""table""]",medium,70.0,True,True,False,True,False,237,0,"[""plain_text_subtype"", ""meaningful_ocr_text"", ""low_part_number_density"", ""no_strong_row_structure""]",00000021.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_native_001\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000021.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_native_001\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000021.txt
22,t_p_120_1176_p000022,plain_text,procedure_or_description,plain_text,validated_primary_route,PASS,100.0,"[""plain_text_ocr_context_validator""]","[""plain_text_ocr_context_validator""]",[],[],medium,82.0,True,False,False,True,False,192,0,"[""plain_text_subtype"", ""meaningful_ocr_text"", ""low_part_number_density"", ""no_strong_row_structure"", ""text_context_terms""]",00000022.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_native_001\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000022.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_native_001\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000022.txt
23,t_p_120_1176_p000023,plain_text,procedure_or_description,plain_text,validated_primary_route,PASS,100.0,"[""plain_text_ocr_context_validator"", ""table_structure_and_part_evidence_validator""]","[""plain_text_ocr_context_validator""]","[""table_structure_and_part_evidence_validator""]","[""table""]",medium,82.0,True,True,False,True,False,287,0,"[""plain_text_subtype"", ""meaningful_ocr_text"", ""low_part_number_density"", ""no_strong_row_structure"", ""text_context_terms""]",00000023.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_native_001\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000023.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_native_001\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000023.txt
24,t_p_120_1176_p000024,plain_text,normal_text,plain_text,validated_primary_route,PASS,90.0,"[""plain_text_ocr_context_validator"", ""table_structure_and_part_evidence_validator""]","[""plain_text_ocr_context_validator""]","[""table_structure_and_part_evidence_validator""]","[""table""]",medium,70.0,True,True,False,True,False,116,0,"[""plain_text_subtype"", ""meaningful_ocr_text"", ""low_part_number_density"", ""no_strong_row_structure""]",00000024.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_native_001\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000024.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_native_001\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000024.txt
25,t_p_120_1176_p000025,blank,blank_candidate,blank,validated_primary_route,PASS,100.0,"[""blank_candidate_confirmation_scan""]","[""blank_candidate_confirmation_scan""]",[],[],high,98.0,False,False,True,False,False,0,0,"[""blank_subtype"", ""empty_or_near_empty_ocr"", ""no_part_number_tokens""]",00000025.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_native_001\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000025.tif,
26,t_p_120_1176_p000026,plain_text,review_required,,validator_gated_unresolved,VALIDATOR_GATED_UNRESOLVED,0.0,"[""plain_text_ocr_context_validator""]",[],"[""plain_text_ocr_context_validator""]",[],low,0.0,True,True,True,False,False,20,0,[],00000026.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_native_001\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000026.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_native_001\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000026.txt
27,t_p_120_1176_p000027,table,table_or_index,table,validated_primary_route,PASS,75.0,"[""table_structure_and_part_evidence_validator""]","[""table_structure_and_part_evidence_validator""]",[],[],medium,74.0,True,False,False,True,True,303,0,"[""table_subtype"", ""row_structure_signal"", ""table_or_ipl_terms"", ""ocr_text_present""]",00000027.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_native_001\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000027.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_native_001\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000027.txt
28,t_p_120_1176_p000028,table,table_or_index,table,validated_primary_route,PASS,75.0,"[""table_structure_and_part_evidence_validator""]","[""table_structure_and_part_evidence_validator""]",[],[],medium,74.0,True,False,False,True,True,305,0,"[""table_subtype"", ""row_structure_signal"", ""table_or_ipl_terms"", ""ocr_text_present""]",00000028.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_native_001\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000028.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_native_001\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000028.txt
29,t_p_120_1176_p000029,table,detailed_parts_list,table,validated_primary_route,PASS,97.0,"[""table_structure_and_part_evidence_validator""]","[""table_structure_and_part_evidence_validator""]",[],[],medium,82.0,True,True,False,True,True,281,5,"[""table_subtype"", ""moderate_part_number_density"", ""row_structure_signal"", ""table_or_ipl_terms"", ""ocr_text_present""]",00000029.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_native_001\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000029.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_native_001\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000029.txt
30,t_p_120_1176_p000030,table,detailed_parts_list,table,validated_primary_route,PASS,100.0,"[""table_structure_and_part_evidence_validator""]","[""table_structure_and_part_evidence_validator""]",[],[],high,94.0,False,False,False,True,True,268,20,"[""table_subtype"", ""strong_part_number_density"", ""row_structure_signal"", ""table_or_ipl_terms"", ""ocr_text_present""]",00000030.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_native_001\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000030.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_native_001\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000030.txt
31,t_p_120_1176_p000031,table,detailed_parts_list,table,validated_primary_route,PASS,100.0,"[""table_structure_and_part_evidence_validator""]","[""table_structure_and_part_evidence_validator""]",[],[],high,94.0,False,False,False,True,True,246,28,"[""table_subtype"", ""strong_part_number_density"", ""row_structure_signal"", ""table_or_ipl_terms"", ""ocr_text_present""]",00000031.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_native_001\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000031.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_native_001\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000031.txt
32,t_p_120_1176_p000032,table,detailed_parts_list,table,validated_primary_route,PASS,100.0,"[""table_structure_and_part_evidence_validator""]","[""table_structure_and_part_evidence_validator""]",[],[],high,94.0,False,False,False,True,True,220,20,"[""table_subtype"", ""strong_part_number_density"", ""row_structure_signal"", ""table_or_ipl_terms"", ""ocr_text_present""]",00000032.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_native_001\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000032.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_native_001\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000032.txt
33,t_p_120_1176_p000033,table,detailed_parts_list,table,validated_primary_route,PASS,97.0,"[""table_structure_and_part_evidence_validator""]","[""table_structure_and_part_evidence_validator""]",[],[],medium,82.0,True,True,False,True,True,304,5,"[""table_subtype"", ""moderate_part_number_density"", ""row_structure_signal"", ""table_or_ipl_terms"", ""ocr_text_present""]",00000033.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_native_001\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000033.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_native_001\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000033.txt
34,t_p_120_1176_p000034,table,table_or_index,table,validated_primary_route,PASS,75.0,"[""table_structure_and_part_evidence_validator""]","[""table_structure_and_part_evidence_validator""]",[],[],medium,74.0,True,False,False,True,True,70,2,"[""table_subtype"", ""row_structure_signal"", ""table_or_ipl_terms"", ""ocr_text_present""]",00000034.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_native_001\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000034.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_native_001\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000034.txt
35,t_p_120_1176_p000035,blank,blank_candidate,blank,validated_primary_route,PASS,100.0,"[""blank_candidate_confirmation_scan""]","[""blank_candidate_confirmation_scan""]",[],[],high,98.0,False,False,True,False,False,0,0,"[""blank_subtype"", ""empty_or_near_empty_ocr"", ""no_part_number_tokens""]",00000035.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_native_001\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000035.tif,
36,t_p_120_1176_p000036,table,detailed_parts_list,table,validated_primary_route,PASS,100.0,"[""table_structure_and_part_evidence_validator""]","[""table_structure_and_part_evidence_validator""]",[],[],high,94.0,False,False,False,True,True,264,16,"[""table_subtype"", ""strong_part_number_density"", ""row_structure_signal"", ""table_or_ipl_terms"", ""ocr_text_present""]",00000036.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_native_001\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000036.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_native_001\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000036.txt
37,t_p_120_1176_p000037,table,detailed_parts_list,table,validated_primary_route,PASS,97.0,"[""table_structure_and_part_evidence_validator""]","[""table_structure_and_part_evidence_validator""]",[],[],medium,82.0,True,True,False,True,True,300,6,"[""table_subtype"", ""moderate_part_number_density"", ""row_structure_signal"", ""table_or_ipl_terms"", ""ocr_text_present""]",00000037.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_native_001\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000037.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_native_001\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000037.txt
38,t_p_120_1176_p000038,table,detailed_parts_list,table,validated_primary_route,PASS,100.0,"[""table_structure_and_part_evidence_validator""]","[""table_structure_and_part_evidence_validator""]",[],[],high,94.0,False,False,False,True,True,276,11,"[""table_subtype"", ""strong_part_number_density"", ""row_structure_signal"", ""table_or_ipl_terms"", ""ocr_text_present""]",00000038.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_native_001\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000038.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_native_001\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000038.txt
39,t_p_120_1176_p000039,table,detailed_parts_list,table,validated_primary_route,PASS,100.0,"[""table_structure_and_part_evidence_validator""]","[""table_structure_and_part_evidence_validator""]",[],[],medium,82.0,True,False,False,True,True,308,8,"[""table_subtype"", ""strong_part_number_density"", ""row_structure_signal"", ""table_or_ipl_terms"", ""ocr_text_present""]",00000039.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_native_001\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000039.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_native_001\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000039.txt
40,t_p_120_1176_p000040,table,detailed_parts_list,table,validated_primary_route,PASS,100.0,"[""table_structure_and_part_evidence_validator""]","[""table_structure_and_part_evidence_validator""]",[],[],medium,82.0,True,False,False,True,True,297,9,"[""table_subtype"", ""strong_part_number_density"", ""row_structure_signal"", ""table_or_ipl_terms"", ""ocr_text_present""]",00000040.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_native_001\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000040.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_native_001\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000040.txt
41,t_p_120_1176_p000041,table,detailed_parts_list,table,validated_primary_route,PASS,97.0,"[""table_structure_and_part_evidence_validator""]","[""table_structure_and_part_evidence_validator""]",[],[],medium,82.0,True,True,False,True,True,319,3,"[""table_subtype"", ""moderate_part_number_density"", ""row_structure_signal"", ""table_or_ipl_terms"", ""ocr_text_present""]",00000041.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_native_001\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000041.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_native_001\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000041.txt
42,t_p_120_1176_p000042,table,detailed_parts_list,table,validated_primary_route,PASS,100.0,"[""table_structure_and_part_evidence_validator""]","[""table_structure_and_part_evidence_validator""]",[],[],medium,82.0,True,False,False,True,True,293,8,"[""table_subtype"", ""strong_part_number_density"", ""row_structure_signal"", ""table_or_ipl_terms"", ""ocr_text_present""]",00000042.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_native_001\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000042.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_native_001\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000042.txt
