page_number,page_id,filename,manual_screen_category,notes
151,t_p_120_1176_p000151,00000151.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
154,t_p_120_1176_p000154,00000154.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
157,t_p_120_1176_p000157,00000157.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
160,t_p_120_1176_p000160,00000160.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
163,t_p_120_1176_p000163,00000163.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
166,t_p_120_1176_p000166,00000166.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
169,t_p_120_1176_p000169,00000169.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
172,t_p_120_1176_p000172,00000172.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
175,t_p_120_1176_p000175,00000175.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
178,t_p_120_1176_p000178,00000178.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
181,t_p_120_1176_p000181,00000181.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
184,t_p_120_1176_p000184,00000184.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
188,t_p_120_1176_p000188,00000188.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
191,t_p_120_1176_p000191,00000191.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
194,t_p_120_1176_p000194,00000194.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
198,t_p_120_1176_p000198,00000198.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
201,t_p_120_1176_p000201,00000201.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
205,t_p_120_1176_p000205,00000205.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
208,t_p_120_1176_p000208,00000208.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
211,t_p_120_1176_p000211,00000211.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
214,t_p_120_1176_p000214,00000214.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
218,t_p_120_1176_p000218,00000218.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
221,t_p_120_1176_p000221,00000221.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
224,t_p_120_1176_p000224,00000224.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
227,t_p_120_1176_p000227,00000227.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
230,t_p_120_1176_p000230,00000230.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
233,t_p_120_1176_p000233,00000233.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
236,t_p_120_1176_p000236,00000236.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
239,t_p_120_1176_p000239,00000239.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
242,t_p_120_1176_p000242,00000242.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
245,t_p_120_1176_p000245,00000245.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
248,t_p_120_1176_p000248,00000248.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
251,t_p_120_1176_p000251,00000251.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
254,t_p_120_1176_p000254,00000254.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
257,t_p_120_1176_p000257,00000257.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
260,t_p_120_1176_p000260,00000260.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
263,t_p_120_1176_p000263,00000263.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
266,t_p_120_1176_p000266,00000266.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
269,t_p_120_1176_p000269,00000269.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
272,t_p_120_1176_p000272,00000272.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
275,t_p_120_1176_p000275,00000275.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
278,t_p_120_1176_p000278,00000278.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
281,t_p_120_1176_p000281,00000281.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
284,t_p_120_1176_p000284,00000284.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
287,t_p_120_1176_p000287,00000287.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
290,t_p_120_1176_p000290,00000290.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
293,t_p_120_1176_p000293,00000293.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
296,t_p_120_1176_p000296,00000296.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
299,t_p_120_1176_p000299,00000299.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
302,t_p_120_1176_p000302,00000302.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
305,t_p_120_1176_p000305,00000305.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
308,t_p_120_1176_p000308,00000308.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
311,t_p_120_1176_p000311,00000311.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
313,t_p_120_1176_p000313,00000313.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
315,t_p_120_1176_p000315,00000315.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
317,t_p_120_1176_p000317,00000317.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
319,t_p_120_1176_p000319,00000319.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
321,t_p_120_1176_p000321,00000321.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
323,t_p_120_1176_p000323,00000323.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
325,t_p_120_1176_p000325,00000325.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
327,t_p_120_1176_p000327,00000327.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
329,t_p_120_1176_p000329,00000329.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
332,t_p_120_1176_p000332,00000332.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
336,t_p_120_1176_p000336,00000336.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
339,t_p_120_1176_p000339,00000339.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
342,t_p_120_1176_p000342,00000342.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
345,t_p_120_1176_p000345,00000345.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
348,t_p_120_1176_p000348,00000348.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
351,t_p_120_1176_p000351,00000351.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
354,t_p_120_1176_p000354,00000354.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
357,t_p_120_1176_p000357,00000357.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
360,t_p_120_1176_p000360,00000360.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
363,t_p_120_1176_p000363,00000363.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
366,t_p_120_1176_p000366,00000366.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
367,t_p_120_1176_p000367,00000367.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
370,t_p_120_1176_p000370,00000370.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
371,t_p_120_1176_p000371,00000371.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
374,t_p_120_1176_p000374,00000374.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
375,t_p_120_1176_p000375,00000375.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
378,t_p_120_1176_p000378,00000378.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
379,t_p_120_1176_p000379,00000379.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
382,t_p_120_1176_p000382,00000382.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
383,t_p_120_1176_p000383,00000383.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
386,t_p_120_1176_p000386,00000386.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
387,t_p_120_1176_p000387,00000387.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
390,t_p_120_1176_p000390,00000390.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
391,t_p_120_1176_p000391,00000391.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
394,t_p_120_1176_p000394,00000394.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
395,t_p_120_1176_p000395,00000395.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
398,t_p_120_1176_p000398,00000398.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
399,t_p_120_1176_p000399,00000399.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
402,t_p_120_1176_p000402,00000402.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
403,t_p_120_1176_p000403,00000403.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
406,t_p_120_1176_p000406,00000406.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
407,t_p_120_1176_p000407,00000407.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
410,t_p_120_1176_p000410,00000410.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
411,t_p_120_1176_p000411,00000411.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
414,t_p_120_1176_p000414,00000414.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
415,t_p_120_1176_p000415,00000415.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
418,t_p_120_1176_p000418,00000418.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
419,t_p_120_1176_p000419,00000419.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
422,t_p_120_1176_p000422,00000422.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
423,t_p_120_1176_p000423,00000423.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
426,t_p_120_1176_p000426,00000426.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
427,t_p_120_1176_p000427,00000427.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
430,t_p_120_1176_p000430,00000430.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
431,t_p_120_1176_p000431,00000431.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
434,t_p_120_1176_p000434,00000434.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
435,t_p_120_1176_p000435,00000435.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
438,t_p_120_1176_p000438,00000438.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
439,t_p_120_1176_p000439,00000439.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
442,t_p_120_1176_p000442,00000442.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
443,t_p_120_1176_p000443,00000443.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
446,t_p_120_1176_p000446,00000446.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
448,t_p_120_1176_p000448,00000448.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
451,t_p_120_1176_p000451,00000451.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
454,t_p_120_1176_p000454,00000454.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
457,t_p_120_1176_p000457,00000457.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
460,t_p_120_1176_p000460,00000460.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
463,t_p_120_1176_p000463,00000463.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
491,t_p_120_1176_p000491,00000491.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
492,t_p_120_1176_p000492,00000492.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
493,t_p_120_1176_p000493,00000493.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
494,t_p_120_1176_p000494,00000494.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
495,t_p_120_1176_p000495,00000495.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
496,t_p_120_1176_p000496,00000496.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
497,t_p_120_1176_p000497,00000497.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
498,t_p_120_1176_p000498,00000498.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
499,t_p_120_1176_p000499,00000499.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
500,t_p_120_1176_p000500,00000500.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
501,t_p_120_1176_p000501,00000501.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
502,t_p_120_1176_p000502,00000502.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
503,t_p_120_1176_p000503,00000503.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
504,t_p_120_1176_p000504,00000504.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
