page_number,page_id,source_member,source_image_path,source_image_sha256,legacy_route,suggested_canonical_route,suggested_route_confidence,suggested_route_reasons,gold_route_label,review_status,review_notes,ocr_word_count,ocr_char_count,part_number_count,part_number_sample,ocr_sample_text,raw_route_reasons,processor_contract,answer_permission,source_truth_mutation_allowed
11,t_p_120_1176_p000011,00000011.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000011.tif,1a2d52743fb6234d668bf2742ee19ce9eb1d68f49b1c04051bbce81322146063,table,table_or_index,high,"[""table_index_terms"", ""legacy_table_route""]",,needs_review,,264,1704,0,[],"CHAPTER

SECTION
SUBJECT
25-IPL
25-IPL
25-IPL
25-IPL
25-IPL
25-IPL
25-IPL
25-IPL
25-IPL
25-IPL
25-IPL
25-IPL
25-IPL
25-IPL
25-IPL
25-IPL
25-IPL
25-IPL
25-IPL
25-IPL
25-IPL
25-IPL
25-IPL
25-IPL
25-IPL
25-IPL
25-IPL
25-IPL
25-IPL
25-IPL
25-IPL
25-IPL
25-IPL
25-IPL
25-IPL
25-IPL
25-IPL
25-IPL
25-IPL

PAGE

1352
1353
1354
1355
1356
1357
1358
1359
1360
1361
1362
1363
1364
1365
1366
1367
1368
1369
1370
1371
1372
1373
1374
1375
1376
1377
1378
1379
1380
1381
1382
1383
1384
1385
1386
1387
1388
1389
1390

€ emenncn

MAINTENANCE MANUAL WITH
ILLUSTRATED PARTS LIST

DATE

Sep 30/98
Apr 10/06
Apr 10/06
Jul 15/02
Sep 30/98
Apr 10/06
Apr 10/06
Sep 30/98
Sep 30/98
Apr 10/06
Apr 10/06
Sep 30/98
Sep 30/98
Apr 10/06
Apr 10/06
Sep 30/98
Sep 30/98
Apr 10/06
Apr 10/06
Sep 30/98
Sep 30/98
Apr 10/06
Apr 10/06
Sep 30/98
Sep 30/98
Apr 10/06
Apr 10/06
Jul 15/02
Sep 30/98
Apr 10/06
Apr 10/06
","[""table_or_parts_list_text_cues""]",table_ocr_table_candidate_scan,False,False
12,t_p_120_1176_p000012,00000012.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000012.tif,a8510eb01519500772c19cb1cbafb973f50bfc01627fd016ec7e14743e44c1f0,blank_candidate,blank_candidate,high,"[""empty_or_near_empty_ocr""]",,auto_suggested_review_recommended,,0,0,0,[],,"[""empty_ocr_low_ink""]",blank_candidate_confirmation_scan,False,False
13,t_p_120_1176_p000013,00000013.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000013.tif,98ab693f2742d50f9aa84ae324eec13a89d8101b8880a117acb28f825ebe81b8,normal_text,table_or_index,medium,"[""table_index_terms""]",,needs_review,,84,421,0,[],"< COMPONENT MAINTENANCE MANUAL
EMBRAER WITH ILLUSTRATED PARTS LIST
RECORD OF REVISIONS
No. ISSUED INSERTED No. ISSUED INSERTED

0s
0s
a ee
a ey
a ey
a
0s
0s
a a
a 0s
a ey
a
0s
0s
a ee
a ey
a ey
a
0s
0s
a ee
a ey
a
0s
0s
a ee
a ey
a se eo
RETAIN THIS RECORD IN FRONT OF MANUAL.

ON RECEIPT OF REVISION, INSERT REVISED PAGES IN THE MANUAL, AND ENTER NUMBER, DATE INSERTED
AND INITIALS.
","[""normal_text_ocr_density""]",normal_text_ocr_summary_scan,False,False
14,t_p_120_1176_p000014,00000014.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000014.tif,77ae5e20f592a235de49f539402d8120f20e256289dd48969e91821b41a9a0f0,normal_text,table_or_index,medium,"[""table_index_terms""]",,needs_review,,75,602,0,[],"EMBRAER COMPONENT MAINTENANCE MANUAL
WITH ILLUSTRATED PARTS LIST

SERVICE BULLETIN RECORD

SERVICE OTHER DATE OF SERVICE OTHER DATE OF
BULLETIN DIRECTIVES INCORPORATION BULLETIN DIRECTIVES INCORPORATION
NUMBER INTO MANUAL NUMBER INTO MANUAL

NOTE: INFORMATION BULLETINS (IB) ARE NORMALLY ISSUED TO PROVIDE GENERAL INFORMATION.
HOWEVER, CERTAIN INFORMATION BULLETINS MAY CONTAIN ADDITIONAL PROCEDURAL OR
MODIFICATION INFORMATION WHICH MUST BE DISSEMINATED TO THE EQUIPMENT USERS.
THEREFORE, THESE INFORMATION BULLETINS ARE LISTED ALONG WITH THE SERVICE BULLETINS
UNDER “OTHER DIRECTIVES”.
","[""normal_text_ocr_density""]",normal_text_ocr_summary_scan,False,False
15,t_p_120_1176_p000015,00000015.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000015.tif,6a594b17e190e9fc06f28e36618ae7eca7c0b67b5b9f4f3326f4463e3d0f57ea,table,mixed_text_and_figure,medium,"[""visual_signal_present"", ""meaningful_prose_present"", ""low_part_number_count""]",,needs_review,,305,1957,0,[],"-< EMBRAER
MAINTENANCE MANUAL WITH
ILLUSTRATED PARTS LIST
DESCRIPTION AND OPERATION
1. General
The passenger seats are arranged into two rows in the aircraft, one comprising single seats and
another comprising double seats. In some configurations, the last row may also comprise triple
seats.
2. Description
A. The Single Passenger Seat (Figure 1) configurations listed below may be found on the ""EMB-
120"" Brasilia:
(1) First row single passenger seat with plug-in type snack table.
(2) Complete Single Passenger Seat with two armrests and snack folding table.
(3) Single Passenger Seat without armrest on the wall side (emergency exit position).
(4) Single Passenger Seat without snack folding table (last row).
(5) Single Passenger Seat with longer armrest, without snack folding table, to fit the triple pas-
senger seat row.
B. The Double Passenger Seat (Figure 2) may be found in the following configurations:
(1) First row Double Passenger Seat with plug-in type snack table.","[""table_or_parts_list_text_cues""]",table_ocr_table_candidate_scan,False,False
16,t_p_120_1176_p000016,00000016.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000016.tif,39a6709102ab643ff1e913c57ef86c92c29e7233bb83c8ddbb6b2eab8ea7cbc7,normal_text,normal_text,high,"[""paragraph_or_general_text_density""]",,needs_review,,223,1333,0,[],"€ emonnce

MAINTENANCE MANUAL WITH
ILLUSTRATED PARTS LIST

G. The backrest structure consists of a rigid composite structure attached to the seat structure and
molded foam cushion is glued to this structure, then covered with fitted upholstery, which, in turn,
is secured with Velcro fastener.

H. The seat bottom cushion is made of molded foam and is covered by the upholstery which is
secured with Velcro fastener.

J. The snack folding table is installed to the back face of the backrest. The snack folding table oper-
ation, when it is extended, is completely independent of the backrest.

K. The plug-in type snack table fits into the armrests.

L. The magazine holder is fitted in the back face of the seat.

M. In the bottom of the each seat place there is a life jacket stowage assembly.

3. Operation
A. Extension and stowage of the Snack Folding Table
(1) The snack folding table is secured in the stowed position by a latch located at the center of

the backrest, ","[""normal_text_ocr_density""]",normal_text_ocr_summary_scan,False,False
17,t_p_120_1176_p000017,00000017.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000017.tif,e5a84463d44c9415bcd51b8c6ef7fe3f64c8d458254955f2b1e2b22fb3ddb80d,image_visual,image_visual_diagram,high,"[""figure_or_visual_label_signal"", ""limited_text_or_visual_route""]",,auto_suggested_review_recommended,,39,325,0,[],"-< EMBRAER

MAINTENANCE MANUAL WITH

ILLUSTRATED PARTS LIST

ASHTRAY

SEAT

BACKREST

t

BSS

SEAT

BELT

ag

Ye

:

SL

Niiiine¢H

Testi

Lt

LY

S

FLOATABLE

SEAT BOTTOM

120TP250001.MCI

Single Passenger Seat

Figure 1

EFFECTIVITY: ALL

25-21-00

Page 3

Sep 30/98
","[""visual_keywords_with_limited_text""]",image_visual_ocr_and_vision_queue_scan,False,False
18,t_p_120_1176_p000018,00000018.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000018.tif,aeb66b86579e3652c6080682649121b8c86dc681d79bcbd04a07f30c5ce40fbe,image_visual,image_visual_diagram,high,"[""figure_or_visual_label_signal"", ""limited_text_or_visual_route""]",,auto_suggested_review_recommended,,43,269,0,[],"-< EMBRAER
MAINTENANCE MANUAL WITH
ILLUSTRATED PARTS LIST
SEAT BACKRESTS
ll
Ex Z
:
g fy YZ
. = —
tm, EP gs
SEAT BELT (Fx
I o ASHTRAY
Za
FLOATABLE
SEAT BOTTOM
120TP250002.MCE
Double Passenger Seat
Figure 2
EFFECTIVITY: ALL
25 21 00 Page 4
Sep 30/98
","[""visual_keywords_with_limited_text""]",image_visual_ocr_and_vision_queue_scan,False,False
19,t_p_120_1176_p000019,00000019.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000019.tif,36b821fe9a02e292ea3cf0e1767fd344f7fd6c090a2462af878a29917b0b5d78,image_visual,image_visual_diagram,high,"[""figure_or_visual_label_signal"", ""limited_text_or_visual_route""]",,auto_suggested_review_recommended,,53,418,0,[],"< EMBRAER

MAINTENANCE MANUAL WITH

ILLUSTRATED PARTS LIST

ASHTRAY

SEAT BACKRESTS

FS

e.

HiT

SL /

la

<I®6

Sean

fe

&S

CSU ag,

£/

Z

Ll

;

Tf ®

WEE

SEAT BELT

A:

=

nny

ui]

li

p>

Rim,

S

1)

p>

FLOATABLE

SEAT BOTTOM

120TP250003.MCE

Triple Passenger Seat

Figure 3

EFFECTIVITY: ALL

25-21-00

Page 5/6

Sep 30/98
","[""visual_keywords_with_limited_text""]",image_visual_ocr_and_vision_queue_scan,False,False
20,t_p_120_1176_p000020,00000020.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000020.tif,dd3d0eab95213423e9df2fe6848e031d954cccf16feae0c4f1df6c9c575e5792,table,procedure_or_description,high,"[""procedure_or_description_terms"", ""paragraph_text_present"", ""low_part_number_count""]",,needs_review,,273,1690,0,[],"< EMBRAER
MAINTENANCE MANUAL WITH
ILLUSTRATED PARTS LIST
ILLUSTRATED PARTS LIST
1. General
A. This section lists and illustrates all the applicable assemblies, subassemblies, and components.
2. Vendor's List
A. A list of names and addresses of vendors is supplied together with the relevant codes for refer-
ence in the Detailed Parts List. The list is arranged in numerical order, according to the vendor
codes. Vendor part numbers with no FEDERAL SUPPLY CODE or NATO SUPPLY CODE
assigned are therein identified with a code preceded by the capital letter ""E"".
3. Numerical Index
A. The numerical index contains every number that appears in the Detailed Parts List and is
arranged in dual columns, in alphanumerical sequence.
(1) PART NUMBER Column.
The part number starts at the extreme left hand, continuing to the right, one position at a
time.
The order of precedence due to the part number arrangement for the first position (extreme
left) is the following:
- Letters A thru Z","[""table_or_parts_list_text_cues""]",table_ocr_table_candidate_scan,False,False
21,t_p_120_1176_p000021,00000021.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000021.tif,6e8e20ab11f2a5010e591c2a3c9aa8b66715e5c0bf308abc17f7021b1ce6a8f2,table,procedure_or_description,high,"[""procedure_or_description_terms"", ""paragraph_text_present"", ""low_part_number_count""]",,needs_review,,237,1620,0,[],"(4)

€ emenncn

MAINTENANCE MANUAL WITH
ILLUSTRATED PARTS LIST

TTL REG Column.

This column indicates the total number of items required per airplane.

4. Electrical Reference Designation Index

A. The purpose of this index is to provide a complete list of the electrical and electronic components
identified in the electrical circuit diagrams of the herein-described equipment by an item number
or by an electrical reference designation number (codes).

(1)

(2)

(3)

EQUIP. CODE column.

The equipment codes are shown in this column in alphanumerical sequence.
PART NUMBER Column.

Refer to paragraph 3, item A.

CH - SEC - UN - FIG - ITEM Column.

Refer to paragraph 3, item B.

5. Figure/Parts List

A. Figure (lllustration/List) Content.

(1)

(2)

FIG - ITEM Column.

Each illustration contains item-numbers to facilitate cross-referencing between the parts list
and the illustration; assemblies or parts not illustrated but included in the parts ","[""table_or_parts_list_text_cues""]",table_ocr_table_candidate_scan,False,False
